 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N4.tif:1,883,850.544,33.122,34.310,32.768,92.204
2,20220803_N4.tif:1,959,490.200,59.047,36.986,33.013,129.249
3,20220803_N4.tif:1,999,66.698,59.810,37.589,33.839,158.011
4,20220803_N4.tif:1,947,1215.816,59.621,35.761,33.717,37.881
5,20220803_N4.tif:1,963,1640.839,59.611,37.597,32.612,18.072
6,20220803_N4.tif:1,923,1002.043,185.726,34.463,34.100,149.707
7,20220803_N4.tif:1,998,277.663,186.869,36.866,34.468,169.218
8,20220803_N4.tif:1,978,1429.216,186.950,36.996,33.659,4.858
9,20220803_N4.tif:1,906,701.160,188.055,34.542,33.396,110.910
10,20220803_N4.tif:2,881,850.548,33.133,34.311,32.693,93.643
11,20220803_N4.tif:2,957,490.197,59.045,36.908,33.014,129.200
12,20220803_N4.tif:2,998,66.726,59.776,37.625,33.773,158.389
13,20220803_N4.tif:2,946,1215.823,59.590,35.742,33.700,38.903
14,20220803_N4.tif:2,964,1640.836,59.629,37.588,32.654,18.385
15,20220803_N4.tif:2,1000,277.756,186.808,36.703,34.691,170.376
16,20220803_N4.tif:2,924,1002.036,185.769,34.452,34.148,162.522
17,20220803_N4.tif:2,981,1429.240,186.940,37.012,33.747,5.995
18,20220803_N4.tif:2,903,701.128,188.029,34.462,33.362,106.381
19,20220803_N4.tif:3,879,850.548,33.171,34.202,32.723,93.984
20,20220803_N4.tif:3,961,490.202,59.083,36.935,33.128,128.699
21,20220803_N4.tif:3,999,66.694,59.760,37.681,33.756,157.409
22,20220803_N4.tif:3,946,1215.811,59.605,35.769,33.674,37.261
23,20220803_N4.tif:3,965,1640.807,59.596,37.633,32.649,17.365
24,20220803_N4.tif:3,926,1002.054,185.801,34.510,34.165,150.384
25,20220803_N4.tif:3,1000,277.770,186.810,36.712,34.682,171.925
26,20220803_N4.tif:3,976,1429.200,186.969,36.957,33.625,4.878
27,20220803_N4.tif:3,902,701.198,188.044,34.478,33.310,103.616
28,20220803_N4.tif:4,883,850.542,33.119,34.323,32.755,92.201
29,20220803_N4.tif:4,958,490.146,59.040,36.838,33.111,130.822
30,20220803_N4.tif:4,1003,66.683,59.790,37.791,33.793,157.588
31,20220803_N4.tif:4,948,1215.813,59.603,35.742,33.771,38.222
32,20220803_N4.tif:4,963,1640.801,59.627,37.584,32.624,19.361
33,20220803_N4.tif:4,923,1002.043,185.726,34.463,34.100,149.707
34,20220803_N4.tif:4,995,277.720,186.890,36.755,34.469,168.913
35,20220803_N4.tif:4,977,1429.221,186.938,37.035,33.588,6.007
36,20220803_N4.tif:4,903,701.220,188.071,34.494,33.332,108.506
37,20220803_N4.tif:5,880,850.517,33.161,34.252,32.712,94.130
38,20220803_N4.tif:5,958,490.177,59.105,36.886,33.069,127.829
39,20220803_N4.tif:5,995,66.658,59.802,37.635,33.662,157.188
40,20220803_N4.tif:5,949,1215.810,59.630,35.832,33.721,39.802
41,20220803_N4.tif:5,961,1640.794,59.622,37.520,32.612,18.633
42,20220803_N4.tif:5,925,1002.051,185.751,34.477,34.161,151.659
43,20220803_N4.tif:5,995,277.737,186.857,36.612,34.603,168.923
44,20220803_N4.tif:5,980,1429.239,186.923,37.030,33.696,5.963
45,20220803_N4.tif:5,906,701.172,188.083,34.475,33.460,107.355
46,20220803_N4.tif:6,880,850.534,33.143,34.164,32.797,91.019
47,20220803_N4.tif:6,960,490.204,59.121,36.939,33.090,128.090
48,20220803_N4.tif:6,1002,66.728,59.755,37.794,33.756,157.910
49,20220803_N4.tif:6,949,1215.814,59.656,35.763,33.787,38.948
50,20220803_N4.tif:6,965,1640.822,59.617,37.588,32.688,18.092
51,20220803_N4.tif:6,923,1002.057,185.720,34.467,34.096,154.535
52,20220803_N4.tif:6,997,277.699,186.870,36.762,34.531,170.975
53,20220803_N4.tif:6,980,1429.228,186.919,37.003,33.721,6.766
54,20220803_N4.tif:6,907,701.122,188.062,34.468,33.504,108.975
55,20220803_N4.tif:7,880,850.501,33.157,34.292,32.674,95.770
56,20220803_N4.tif:7,962,490.216,59.074,36.981,33.122,127.432
57,20220803_N4.tif:7,998,66.684,59.804,37.656,33.745,157.209
58,20220803_N4.tif:7,945,1215.829,59.607,35.752,33.654,38.273
59,20220803_N4.tif:7,963,1640.818,59.598,37.518,32.681,18.167
60,20220803_N4.tif:7,926,1002.042,185.776,34.512,34.162,139.309
61,20220803_N4.tif:7,996,277.731,186.864,36.718,34.537,169.342
62,20220803_N4.tif:7,980,1429.224,186.943,36.972,33.749,6.150
63,20220803_N4.tif:7,907,701.113,188.077,34.451,33.521,110.107
64,20220803_N4.tif:8,880,850.522,33.168,34.223,32.739,94.701
65,20220803_N4.tif:8,962,490.166,59.107,36.942,33.156,128.230
66,20220803_N4.tif:8,1000,66.677,59.783,37.692,33.780,157.487
67,20220803_N4.tif:8,946,1215.823,59.590,35.742,33.700,38.903
68,20220803_N4.tif:8,962,1640.820,59.607,37.563,32.608,18.463
69,20220803_N4.tif:8,923,1002.018,185.759,34.464,34.099,148.941
70,20220803_N4.tif:8,994,277.702,186.878,36.685,34.499,167.832
71,20220803_N4.tif:8,979,1429.251,186.934,36.997,33.692,7.037
72,20220803_N4.tif:8,910,701.137,188.067,34.490,33.594,108.464
73,20220803_N4.tif:9,880,850.466,33.161,34.295,32.671,94.165
74,20220803_N4.tif:9,960,490.182,59.090,36.943,33.087,128.421
75,20220803_N4.tif:9,1001,66.725,59.748,37.684,33.821,157.894
76,20220803_N4.tif:9,949,1215.803,59.587,35.814,33.738,39.853
77,20220803_N4.tif:9,963,1640.810,59.593,37.651,32.565,17.860
78,20220803_N4.tif:9,997,277.732,186.856,36.724,34.566,168.847
79,20220803_N4.tif:9,926,1002.048,185.770,34.514,34.160,144.684
80,20220803_N4.tif:9,978,1429.230,186.960,36.937,33.712,4.169
81,20220803_N4.tif:9,908,701.161,188.085,34.543,33.469,114.802
82,20220803_N4.tif:10,881,850.527,33.154,34.245,32.756,94.267
83,20220803_N4.tif:10,959,490.161,59.053,36.859,33.127,129.696
84,20220803_N4.tif:10,998,66.701,59.813,37.680,33.723,156.594
85,20220803_N4.tif:10,950,1215.786,59.627,35.826,33.763,38.720
86,20220803_N4.tif:10,963,1640.839,59.611,37.597,32.612,18.072
87,20220803_N4.tif:10,924,1002.009,185.734,34.444,34.156,159.007
88,20220803_N4.tif:10,994,277.693,186.893,36.704,34.481,168.891
89,20220803_N4.tif:10,978,1429.214,186.911,36.997,33.658,6.588
90,20220803_N4.tif:10,906,701.160,188.116,34.516,33.421,110.581
91,20220803_N4.tif:11,879,850.492,33.158,34.270,32.658,94.405
92,20220803_N4.tif:11,960,490.164,59.044,36.903,33.122,129.042
93,20220803_N4.tif:11,998,66.689,59.804,37.658,33.743,157.552
94,20220803_N4.tif:11,950,1215.787,59.663,35.761,33.824,41.211
95,20220803_N4.tif:11,962,1640.848,59.596,37.576,32.597,17.658
96,20220803_N4.tif:11,999,277.749,186.842,36.753,34.608,170.297
97,20220803_N4.tif:11,925,1002.056,185.754,34.515,34.123,147.191
98,20220803_N4.tif:11,978,1429.219,186.951,37.000,33.655,6.250
99,20220803_N4.tif:11,908,701.094,188.062,34.554,33.458,109.290
100,20220803_N4.tif:12,880,850.465,33.151,34.290,32.676,95.521
101,20220803_N4.tif:12,963,490.140,59.088,37.008,33.132,127.074
102,20220803_N4.tif:12,1000,66.675,59.747,37.709,33.765,156.360
