 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N5.tif:1,881,851.056,33.077,34.451,32.560,87.675
2,20220803_N5.tif:1,962,490.337,59.189,36.974,33.127,128.643
3,20220803_N5.tif:1,1001,66.790,59.804,37.810,33.709,157.454
4,20220803_N5.tif:1,950,1215.868,59.571,35.854,33.736,39.459
5,20220803_N5.tif:1,964,1640.845,59.568,37.575,32.665,17.777
6,20220803_N5.tif:1,927,1002.377,185.950,34.561,34.151,5.685
7,20220803_N5.tif:1,999,277.885,186.822,36.651,34.704,172.122
8,20220803_N5.tif:1,909,701.528,187.761,34.699,33.355,113.317
9,20220803_N5.tif:1,985,1429.332,186.940,37.117,33.789,4.957
10,20220803_N5.tif:2,878,851.040,33.028,34.370,32.526,87.348
11,20220803_N5.tif:2,961,490.314,59.173,37.013,33.058,127.964
12,20220803_N5.tif:2,1002,66.838,59.774,37.810,33.742,158.433
13,20220803_N5.tif:2,950,1215.868,59.538,35.911,33.682,39.846
14,20220803_N5.tif:2,961,1640.910,59.570,37.453,32.670,17.681
15,20220803_N5.tif:2,925,1002.392,185.930,34.517,34.121,0.509
16,20220803_N5.tif:2,999,277.889,186.839,36.693,34.665,170.832
17,20220803_N5.tif:2,908,701.543,187.757,34.714,33.303,113.042
18,20220803_N5.tif:2,983,1429.335,186.916,37.086,33.749,5.103
19,20220803_N5.tif:3,881,851.018,33.110,34.513,32.502,86.153
20,20220803_N5.tif:3,962,490.312,59.109,36.966,33.135,127.595
21,20220803_N5.tif:3,998,66.818,59.756,37.737,33.672,156.160
22,20220803_N5.tif:3,952,1215.881,59.570,35.890,33.773,40.904
23,20220803_N5.tif:3,964,1640.889,59.555,37.491,32.739,18.274
24,20220803_N5.tif:3,929,1002.307,185.920,34.559,34.226,4.576
25,20220803_N5.tif:3,1002,277.834,186.841,36.865,34.607,169.337
26,20220803_N5.tif:3,909,701.474,187.760,34.709,33.345,112.665
27,20220803_N5.tif:3,985,1429.296,186.901,37.169,33.742,5.567
28,20220803_N5.tif:4,882,851.057,33.085,34.459,32.589,88.997
29,20220803_N5.tif:4,962,490.278,59.161,37.027,33.080,129.273
30,20220803_N5.tif:4,999,66.776,59.770,37.671,33.765,156.678
31,20220803_N5.tif:4,949,1215.851,59.544,35.865,33.690,40.486
32,20220803_N5.tif:4,961,1640.921,59.546,37.507,32.623,17.566
33,20220803_N5.tif:4,929,1002.364,185.886,34.630,34.157,2.008
34,20220803_N5.tif:4,1000,277.864,186.823,36.703,34.690,171.908
35,20220803_N5.tif:4,911,701.533,187.751,34.685,33.442,108.703
36,20220803_N5.tif:4,983,1429.320,186.938,37.138,33.702,4.593
37,20220803_N5.tif:5,881,851.031,33.125,34.445,32.566,88.063
38,20220803_N5.tif:5,959,490.307,59.107,36.862,33.124,129.144
39,20220803_N5.tif:5,1000,66.815,59.747,37.766,33.714,158.183
40,20220803_N5.tif:5,949,1215.850,59.582,35.807,33.745,39.916
41,20220803_N5.tif:5,961,1640.852,59.572,37.504,32.626,17.834
42,20220803_N5.tif:5,1001,277.870,186.838,36.769,34.663,169.201
43,20220803_N5.tif:5,928,1002.373,185.912,34.549,34.200,166.332
44,20220803_N5.tif:5,909,701.509,187.737,34.738,33.317,110.896
45,20220803_N5.tif:5,984,1429.308,186.976,37.125,33.748,6.234
46,20220803_N5.tif:6,879,851.031,33.072,34.411,32.524,87.590
47,20220803_N5.tif:6,961,490.317,59.143,36.947,33.117,128.292
48,20220803_N5.tif:6,999,66.787,59.793,37.755,33.690,156.651
49,20220803_N5.tif:6,951,1215.864,59.577,35.845,33.780,41.602
50,20220803_N5.tif:6,964,1640.907,59.594,37.562,32.676,18.488
51,20220803_N5.tif:6,926,1002.407,185.884,34.550,34.125,0.608
52,20220803_N5.tif:6,1000,277.881,186.836,36.806,34.593,171.483
53,20220803_N5.tif:6,909,701.526,187.761,34.702,33.352,113.450
54,20220803_N5.tif:6,981,1429.301,186.918,37.042,33.720,5.360
55,20220803_N5.tif:7,880,851.014,33.076,34.398,32.573,87.058
56,20220803_N5.tif:7,964,490.300,59.149,37.074,33.106,127.780
57,20220803_N5.tif:7,999,66.829,59.778,37.762,33.683,157.692
58,20220803_N5.tif:7,950,1215.858,59.565,35.850,33.740,40.704
59,20220803_N5.tif:7,963,1640.897,59.566,37.604,32.607,17.829
60,20220803_N5.tif:7,1004,277.876,186.811,36.853,34.687,170.151
61,20220803_N5.tif:7,927,1002.368,185.938,34.512,34.199,15.200
62,20220803_N5.tif:7,908,701.511,187.771,34.720,33.298,113.956
63,20220803_N5.tif:7,983,1429.309,186.942,37.118,33.719,5.227
64,20220803_N5.tif:8,883,851.001,33.117,34.475,32.611,86.840
65,20220803_N5.tif:8,963,490.302,59.167,37.064,33.081,128.466
66,20220803_N5.tif:8,998,66.853,59.786,37.813,33.605,157.394
67,20220803_N5.tif:8,948,1215.835,59.555,35.810,33.707,40.704
68,20220803_N5.tif:8,964,1640.885,59.581,37.635,32.614,18.226
69,20220803_N5.tif:8,927,1002.362,185.885,34.567,34.145,175.412
70,20220803_N5.tif:8,998,277.854,186.838,36.738,34.588,171.013
71,20220803_N5.tif:8,908,701.511,187.771,34.720,33.298,113.956
72,20220803_N5.tif:8,982,1429.268,186.898,37.000,33.793,5.713
73,20220803_N5.tif:9,883,851.001,33.117,34.475,32.611,86.840
74,20220803_N5.tif:9,964,490.318,59.163,37.058,33.121,128.836
75,20220803_N5.tif:9,1001,66.849,59.751,37.732,33.778,158.084
76,20220803_N5.tif:9,951,1215.876,59.554,35.896,33.732,40.236
77,20220803_N5.tif:9,964,1640.857,59.582,37.570,32.669,18.308
78,20220803_N5.tif:9,926,1002.400,185.942,34.505,34.170,176.849
79,20220803_N5.tif:9,997,277.926,186.859,36.635,34.650,172.192
80,20220803_N5.tif:9,984,1429.317,186.930,37.092,33.778,5.570
81,20220803_N5.tif:9,908,701.535,187.798,34.652,33.363,111.499
82,20220803_N5.tif:10,881,851.027,33.060,34.387,32.621,86.325
83,20220803_N5.tif:10,964,490.341,59.102,37.055,33.124,129.479
84,20220803_N5.tif:10,999,66.795,59.789,37.783,33.665,158.702
85,20220803_N5.tif:10,952,1215.881,59.570,35.890,33.773,40.904
86,20220803_N5.tif:10,962,1640.930,59.549,37.434,32.721,17.518
87,20220803_N5.tif:10,928,1002.394,185.944,34.612,34.137,7.603
88,20220803_N5.tif:10,1002,277.877,186.790,36.683,34.779,172.863
89,20220803_N5.tif:10,913,701.502,187.741,34.821,33.384,109.270
90,20220803_N5.tif:10,981,1429.290,186.894,37.064,33.700,5.605
91,20220803_N5.tif:11,878,851.080,33.044,34.421,32.477,88.316
92,20220803_N5.tif:11,963,490.336,59.170,37.022,33.119,128.349
93,20220803_N5.tif:11,1000,66.802,59.779,37.758,33.721,158.549
94,20220803_N5.tif:11,949,1215.851,59.544,35.865,33.690,40.486
95,20220803_N5.tif:11,964,1640.860,59.584,37.600,32.643,17.491
96,20220803_N5.tif:11,1004,277.833,186.805,36.833,34.706,169.729
97,20220803_N5.tif:11,927,1002.408,185.931,34.583,34.130,3.156
98,20220803_N5.tif:11,910,701.532,187.777,34.726,33.365,110.581
99,20220803_N5.tif:11,982,1429.317,186.905,37.095,33.706,4.757
100,20220803_N5.tif:12,882,851.015,33.116,34.503,32.548,87.144
101,20220803_N5.tif:12,963,490.310,59.146,37.005,33.134,129.077
102,20220803_N5.tif:12,1002,66.812,59.779,37.735,33.809,159.034
103,20220803_N5.tif:12,949,1215.851,59.544,35.865,33.690,40.486
104,20220803_N5.tif:12,962,1640.853,59.575,37.514,32.651,17.102
105,20220803_N5.tif:12,926,1002.397,185.915,34.593,34.083,6.601
106,20220803_N5.tif:12,1001,277.913,186.849,36.769,34.663,172.201
107,20220803_N5.tif:12,909,701.502,187.762,34.656,33.397,110.819
108,20220803_N5.tif:12,985,1429.289,186.934,37.150,33.759,5.049
109,20220803_N5.tif:13,880,851.045,33.098,34.421,32.551,85.511
110,20220803_N5.tif:13,961,490.341,59.170,36.964,33.102,129.326
111,20220803_N5.tif:13,999,66.851,59.758,37.746,33.698,157.471
112,20220803_N5.tif:13,949,1215.867,59.590,35.859,33.696,38.838
113,20220803_N5.tif:13,962,1640.913,59.536,37.525,32.641,17.213
114,20220803_N5.tif:13,927,1002.387,185.955,34.521,34.191,3.325
115,20220803_N5.tif:13,1003,277.874,186.838,36.895,34.613,171.434
116,20220803_N5.tif:13,910,701.496,187.763,34.747,33.346,112.224
117,20220803_N5.tif:13,979,1429.336,186.908,37.032,33.660,6.532
118,20220803_N5.tif:14,883,851.052,33.074,34.546,32.544,86.173
119,20220803_N5.tif:14,959,490.298,59.165,36.889,33.100,128.237
120,20220803_N5.tif:14,998,66.807,59.779,37.744,33.666,157.209
121,20220803_N5.tif:14,949,1215.877,59.556,35.812,33.740,41.785
122,20220803_N5.tif:14,967,1640.883,59.569,37.626,32.722,18.441
123,20220803_N5.tif:14,925,1002.416,185.936,34.580,34.058,176.287
124,20220803_N5.tif:14,1002,277.863,186.837,36.817,34.652,170.269
125,20220803_N5.tif:14,910,701.518,187.770,34.673,33.416,111.710
126,20220803_N5.tif:14,983,1429.309,186.924,36.985,33.840,5.631
127,20220803_N5.tif:15,881,851.021,33.088,34.449,32.562,87.815
128,20220803_N5.tif:15,962,490.335,59.156,37.032,33.075,126.929
129,20220803_N5.tif:15,998,66.822,59.787,37.765,33.648,157.715
130,20220803_N5.tif:15,949,1215.851,59.544,35.865,33.690,40.486
131,20220803_N5.tif:15,962,1640.916,59.563,37.548,32.621,17.973
132,20220803_N5.tif:15,1001,277.895,186.818,36.690,34.737,170.994
133,20220803_N5.tif:15,924,1002.389,185.934,34.498,34.103,169.907
