 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N3.tif:1,881,850.855,33.138,34.475,32.537,91.193
2,20220803_N3.tif:1,962,490.357,59.203,36.835,33.252,131.185
3,20220803_N3.tif:1,1003,66.947,59.770,37.793,33.791,158.630
4,20220803_N3.tif:1,952,1215.821,59.551,35.867,33.795,39.438
5,20220803_N3.tif:1,967,1640.834,59.653,37.522,32.813,18.276
6,20220803_N3.tif:1,934,1002.247,185.828,34.763,34.209,171.330
7,20220803_N3.tif:1,1004,277.959,186.852,36.860,34.681,169.836
8,20220803_N3.tif:1,985,1429.307,186.912,37.117,33.789,4.761
9,20220803_N3.tif:1,910,701.498,187.902,34.693,33.397,115.528
10,20220803_N3.tif:2,882,850.851,33.119,34.530,32.522,91.580
11,20220803_N3.tif:2,962,490.367,59.215,36.854,33.235,128.237
12,20220803_N3.tif:2,1005,66.947,59.777,37.900,33.763,158.585
13,20220803_N3.tif:2,951,1215.788,59.564,35.752,33.868,38.966
14,20220803_N3.tif:2,966,1640.828,59.607,37.527,32.775,17.463
15,20220803_N3.tif:2,934,1002.233,185.851,34.719,34.252,164.891
16,20220803_N3.tif:2,1003,277.968,186.872,36.856,34.650,171.380
17,20220803_N3.tif:2,986,1429.304,186.896,37.100,33.839,4.666
18,20220803_N3.tif:2,912,701.468,187.883,34.753,33.413,117.717
19,20220803_N3.tif:3,883,850.864,33.174,34.504,32.584,94.484
20,20220803_N3.tif:3,957,490.379,59.218,36.632,33.263,130.323
21,20220803_N3.tif:3,1002,66.967,59.787,37.852,33.705,157.887
22,20220803_N3.tif:3,951,1215.826,59.598,35.854,33.771,39.852
23,20220803_N3.tif:3,968,1640.811,59.640,37.557,32.816,17.998
24,20220803_N3.tif:3,930,1002.240,185.844,34.605,34.218,168.817
25,20220803_N3.tif:3,1001,277.998,186.886,36.725,34.704,172.450
26,20220803_N3.tif:3,985,1429.311,186.911,37.111,33.794,5.014
27,20220803_N3.tif:3,908,701.493,187.921,34.543,33.468,112.245
28,20220803_N3.tif:4,882,850.841,33.160,34.484,32.566,89.785
29,20220803_N3.tif:4,958,490.411,59.177,36.748,33.193,129.775
30,20220803_N3.tif:4,1001,66.994,59.806,37.865,33.659,157.386
31,20220803_N3.tif:4,951,1215.847,59.569,35.878,33.749,38.733
32,20220803_N3.tif:4,968,1640.801,59.580,37.531,32.839,17.092
33,20220803_N3.tif:4,934,1002.263,185.832,34.755,34.217,165.192
34,20220803_N3.tif:4,1002,277.957,186.864,36.839,34.632,173.067
35,20220803_N3.tif:4,984,1429.300,186.946,37.046,33.819,5.685
36,20220803_N3.tif:4,908,701.500,187.911,34.587,33.425,111.437
37,20220803_N3.tif:5,882,850.833,33.153,34.519,32.533,91.363
38,20220803_N3.tif:5,959,490.429,59.210,36.792,33.187,130.824
39,20220803_N3.tif:5,1001,66.922,59.767,37.738,33.773,158.756
40,20220803_N3.tif:5,950,1215.804,59.572,35.757,33.828,39.774
