 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N9.tif:1,881,850.725,33.146,34.454,32.557,91.929
2,20220803_N9.tif:1,960,490.298,59.101,36.932,33.096,129.682
3,20220803_N9.tif:1,1000,66.782,59.787,37.698,33.775,158.282
4,20220803_N9.tif:1,947,1215.815,59.629,35.768,33.710,37.556
5,20220803_N9.tif:1,948,1641.085,59.589,37.227,32.424,19.261
6,20220803_N9.tif:1,928,1002.139,185.841,34.520,34.229,148.230
7,20220803_N9.tif:1,1002,277.863,186.829,36.810,34.659,172.119
8,20220803_N9.tif:1,982,1429.251,186.986,37.048,33.749,5.262
9,20220803_N9.tif:1,907,701.432,187.945,34.608,33.369,112.445
10,20220803_N9.tif:2,879,850.788,33.128,34.438,32.498,94.220
11,20220803_N9.tif:2,960,490.293,59.064,36.894,33.130,128.896
12,20220803_N9.tif:2,999,66.818,59.771,37.746,33.698,158.036
13,20220803_N9.tif:2,949,1215.818,59.620,35.734,33.813,38.905
14,20220803_N9.tif:2,951,1641.043,59.627,37.254,32.502,20.584
15,20220803_N9.tif:2,928,1002.137,185.857,34.578,34.171,152.637
16,20220803_N9.tif:2,1000,277.877,186.871,36.753,34.643,171.287
17,20220803_N9.tif:2,984,1429.234,187.021,37.055,33.811,5.316
18,20220803_N9.tif:2,906,701.436,187.908,34.508,33.429,112.825
19,20220803_N9.tif:3,881,850.760,33.152,34.456,32.556,92.406
20,20220803_N9.tif:3,959,490.261,59.099,36.934,33.060,128.201
21,20220803_N9.tif:3,998,66.787,59.791,37.722,33.686,158.012
22,20220803_N9.tif:3,948,1215.836,59.622,35.720,33.792,40.003
23,20220803_N9.tif:3,947,1641.105,59.586,37.170,32.439,19.445
24,20220803_N9.tif:3,929,1002.089,185.822,34.581,34.205,149.498
25,20220803_N9.tif:3,1001,277.876,186.821,36.737,34.693,173.018
26,20220803_N9.tif:3,981,1429.226,187.007,36.989,33.768,5.216
27,20220803_N9.tif:3,909,701.452,187.919,34.676,33.377,115.555
28,20220803_N9.tif:4,880,850.735,33.130,34.423,32.549,93.058
29,20220803_N9.tif:4,961,490.297,59.115,36.927,33.135,129.395
30,20220803_N9.tif:4,996,66.812,59.790,37.767,33.578,157.289
31,20220803_N9.tif:4,948,1215.820,59.638,35.731,33.781,37.924
32,20220803_N9.tif:4,947,1641.098,59.592,37.199,32.414,19.185
33,20220803_N9.tif:4,929,1002.117,185.843,34.597,34.189,155.681
34,20220803_N9.tif:4,1000,277.870,186.843,36.741,34.654,170.896
35,20220803_N9.tif:4,982,1429.227,186.957,36.981,33.810,5.027
36,20220803_N9.tif:4,907,701.417,187.886,34.583,33.393,112.340
37,20220803_N9.tif:5,878,850.730,33.155,34.409,32.489,90.354
38,20220803_N9.tif:5,962,490.282,59.101,37.008,33.097,129.172
39,20220803_N9.tif:5,998,66.770,59.799,37.667,33.735,157.636
40,20220803_N9.tif:5,948,1215.836,59.622,35.720,33.792,40.003
41,20220803_N9.tif:5,947,1641.102,59.613,37.219,32.396,19.972
42,20220803_N9.tif:5,998,277.839,186.856,36.657,34.664,170.963
43,20220803_N9.tif:5,930,1002.138,185.852,34.673,34.151,157.867
44,20220803_N9.tif:5,984,1429.272,187.016,37.040,33.824,5.148
45,20220803_N9.tif:5,909,701.427,187.880,34.693,33.360,112.709
46,20220803_N9.tif:6,879,850.759,33.139,34.480,32.459,92.488
47,20220803_N9.tif:6,959,490.291,59.103,36.787,33.192,128.273
48,20220803_N9.tif:6,999,66.856,59.764,37.782,33.666,157.464
49,20220803_N9.tif:6,947,1215.805,59.588,35.758,33.720,37.865
50,20220803_N9.tif:6,948,1641.055,59.598,37.230,32.421,20.038
51,20220803_N9.tif:6,929,1002.136,185.861,34.519,34.266,144.116
52,20220803_N9.tif:6,1000,277.891,186.844,36.737,34.658,172.262
53,20220803_N9.tif:6,983,1429.241,187.001,37.056,33.775,5.861
54,20220803_N9.tif:6,910,701.409,187.911,34.666,33.423,114.059
55,20220803_N9.tif:7,882,850.739,33.134,34.463,32.586,90.826
56,20220803_N9.tif:7,962,490.313,59.112,36.947,33.151,129.556
57,20220803_N9.tif:7,999,66.810,59.765,37.758,33.687,156.747
58,20220803_N9.tif:7,947,1215.825,59.655,35.743,33.734,37.289
59,20220803_N9.tif:7,950,1641.031,59.621,37.259,32.464,19.324
60,20220803_N9.tif:7,930,1002.117,185.852,34.725,34.099,153.425
61,20220803_N9.tif:7,995,277.840,186.861,36.606,34.608,169.835
62,20220803_N9.tif:7,981,1429.235,187.027,36.990,33.767,4.535
63,20220803_N9.tif:7,907,701.388,187.863,34.591,33.385,112.138
