 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N2.tif:1,882,850.718,33.153,34.428,32.619,91.783
2,20220803_N2.tif:1,964,490.265,59.118,37.043,33.135,128.922
3,20220803_N2.tif:1,1001,66.760,59.791,37.694,33.812,158.593
4,20220803_N2.tif:1,949,1215.774,59.645,35.874,33.682,37.990
5,20220803_N2.tif:1,962,1640.850,59.597,37.566,32.605,17.672
6,20220803_N2.tif:1,926,1002.076,185.851,34.539,34.136,153.483
7,20220803_N2.tif:1,1001,277.778,186.912,36.768,34.664,171.902
8,20220803_N2.tif:1,979,1429.261,186.969,37.022,33.669,6.697
9,20220803_N2.tif:1,908,701.387,187.888,34.583,33.430,111.781
10,20220803_N2.tif:2,880,850.751,33.143,34.444,32.530,92.693
11,20220803_N2.tif:2,963,490.174,59.145,36.924,33.207,129.123
12,20220803_N2.tif:2,999,66.714,59.837,37.699,33.740,158.193
13,20220803_N2.tif:2,948,1215.836,59.622,35.720,33.792,40.003
14,20220803_N2.tif:2,963,1640.839,59.611,37.597,32.612,18.072
15,20220803_N2.tif:2,925,1002.079,185.844,34.571,34.068,149.643
16,20220803_N2.tif:2,998,277.760,186.968,36.700,34.624,171.801
17,20220803_N2.tif:2,981,1429.233,186.980,37.020,33.740,5.277
18,20220803_N2.tif:2,906,701.336,187.871,34.707,33.237,109.105
19,20220803_N2.tif:3,881,850.734,33.142,34.430,32.580,92.866
20,20220803_N2.tif:3,962,490.198,59.130,36.881,33.211,128.053
21,20220803_N2.tif:3,1001,66.715,59.793,37.766,33.747,157.131
22,20220803_N2.tif:3,946,1215.823,59.590,35.742,33.700,38.903
23,20220803_N2.tif:3,965,1640.838,59.645,37.575,32.699,18.526
24,20220803_N2.tif:3,927,1002.057,185.819,34.523,34.189,144.404
25,20220803_N2.tif:3,1004,277.757,186.903,36.803,34.734,172.908
26,20220803_N2.tif:3,979,1429.241,186.976,37.054,33.640,5.677
27,20220803_N2.tif:3,901,701.335,187.871,34.494,33.258,109.092
28,20220803_N2.tif:4,882,850.717,33.145,34.415,32.631,92.654
29,20220803_N2.tif:4,961,490.244,59.130,37.001,33.069,128.270
30,20220803_N2.tif:4,998,66.730,59.823,37.697,33.708,157.975
31,20220803_N2.tif:4,945,1215.812,59.623,35.768,33.639,36.380
