 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N6.tif:1,882,850.844,33.113,34.486,32.564,90.677
2,20220803_N6.tif:1,960,490.256,59.121,37.023,33.015,127.232
3,20220803_N6.tif:1,997,66.701,59.790,37.682,33.687,157.099
4,20220803_N6.tif:1,948,1215.832,59.589,35.761,33.753,40.611
5,20220803_N6.tif:1,959,1640.908,59.547,37.514,32.549,17.171
6,20220803_N6.tif:1,997,277.773,186.877,36.788,34.507,169.016
7,20220803_N6.tif:1,924,1002.241,185.850,34.539,34.063,145.735
8,20220803_N6.tif:1,976,1429.288,186.867,36.973,33.611,6.379
9,20220803_N6.tif:1,902,701.377,187.914,34.536,33.254,111.132
10,20220803_N6.tif:2,879,850.840,33.121,34.414,32.521,91.933
11,20220803_N6.tif:2,962,490.269,59.098,37.079,33.033,128.329
12,20220803_N6.tif:2,1000,66.736,59.791,37.645,33.822,157.941
13,20220803_N6.tif:2,948,1215.835,59.588,35.752,33.761,40.334
14,20220803_N6.tif:2,958,1640.868,59.552,37.503,32.524,17.777
15,20220803_N6.tif:2,924,1002.208,185.877,34.459,34.142,149.210
16,20220803_N6.tif:2,999,277.705,186.855,36.908,34.463,168.631
17,20220803_N6.tif:2,978,1429.289,186.858,37.053,33.607,5.744
18,20220803_N6.tif:2,904,701.379,187.862,34.434,33.427,109.479
19,20220803_N6.tif:3,880,850.824,33.076,34.413,32.559,93.885
20,20220803_N6.tif:3,961,490.247,59.114,37.045,33.029,127.973
21,20220803_N6.tif:3,999,66.693,59.792,37.651,33.783,157.381
22,20220803_N6.tif:3,948,1215.835,59.555,35.810,33.707,40.704
23,20220803_N6.tif:3,960,1640.876,59.571,37.496,32.599,17.013
24,20220803_N6.tif:3,923,1002.228,185.873,34.445,34.118,143.727
25,20220803_N6.tif:3,996,277.737,186.879,36.775,34.484,168.747
26,20220803_N6.tif:3,981,1429.318,186.886,37.085,33.681,5.487
27,20220803_N6.tif:3,903,701.379,187.847,34.435,33.389,111.121
28,20220803_N6.tif:4,880,850.875,33.112,34.426,32.546,91.725
29,20220803_N6.tif:4,960,490.236,59.069,36.990,33.044,129.504
30,20220803_N6.tif:4,999,66.671,59.781,37.792,33.657,156.815
31,20220803_N6.tif:4,950,1215.842,59.553,35.886,33.707,38.115
32,20220803_N6.tif:4,961,1640.844,59.560,37.529,32.604,17.284
33,20220803_N6.tif:4,925,1002.231,185.891,34.468,34.170,149.716
34,20220803_N6.tif:4,997,277.804,186.856,36.685,34.604,170.837
35,20220803_N6.tif:4,975,1429.358,186.916,36.990,33.561,4.888
36,20220803_N6.tif:4,906,701.371,187.896,34.510,33.427,112.237
37,20220803_N6.tif:5,880,850.845,33.080,34.410,32.562,90.846
38,20220803_N6.tif:5,962,490.261,59.082,36.965,33.136,128.517
39,20220803_N6.tif:5,1000,66.726,59.775,37.777,33.704,157.152
40,20220803_N6.tif:5,948,1215.823,59.570,35.834,33.684,39.072
41,20220803_N6.tif:5,960,1640.865,59.583,37.507,32.589,18.165
42,20220803_N6.tif:5,927,1002.244,185.852,34.631,34.082,148.677
43,20220803_N6.tif:5,999,277.767,186.832,36.813,34.552,169.863
44,20220803_N6.tif:5,980,1429.293,186.883,37.057,33.671,5.789
45,20220803_N6.tif:5,904,701.358,187.856,34.566,33.299,111.333
46,20220803_N6.tif:6,881,850.829,33.107,34.405,32.603,93.654
47,20220803_N6.tif:6,959,490.228,59.092,36.900,33.090,128.422
48,20220803_N6.tif:6,998,66.720,59.788,37.691,33.713,156.543
49,20220803_N6.tif:6,948,1215.835,59.555,35.810,33.707,40.704
50,20220803_N6.tif:6,960,1640.868,59.582,37.508,32.588,18.026
51,20220803_N6.tif:6,998,277.752,186.826,36.730,34.596,167.117
52,20220803_N6.tif:6,923,1002.212,185.849,34.474,34.090,143.797
53,20220803_N6.tif:6,977,1429.298,186.873,36.999,33.622,3.603
54,20220803_N6.tif:6,905,701.386,187.860,34.547,33.354,107.925
55,20220803_N6.tif:7,881,850.848,33.105,34.416,32.593,91.524
56,20220803_N6.tif:7,962,490.243,59.104,36.943,33.155,129.440
57,20220803_N6.tif:7,997,66.734,59.763,37.623,33.740,156.404
58,20220803_N6.tif:7,950,1215.859,59.560,35.850,33.740,40.902
59,20220803_N6.tif:7,960,1640.883,59.582,37.470,32.621,17.565
60,20220803_N6.tif:7,924,1002.200,185.887,34.535,34.067,135.381
