 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N7.tif:1,878,850.723,33.155,34.409,32.488,91.164
2,20220803_N7.tif:1,961,490.280,59.131,36.954,33.111,128.321
3,20220803_N7.tif:1,997,66.836,59.797,37.718,33.656,157.579
4,20220803_N7.tif:1,939,1215.823,59.710,35.514,33.665,30.157
5,20220803_N7.tif:1,971,1640.804,59.689,37.542,32.932,19.222
6,20220803_N7.tif:1,927,1002.062,185.845,34.598,34.115,145.024
7,20220803_N7.tif:1,994,277.850,186.896,36.616,34.564,169.643
8,20220803_N7.tif:1,982,1429.209,187.061,36.953,33.835,3.661
9,20220803_N7.tif:1,909,701.354,187.984,34.700,33.353,113.692
10,20220803_N7.tif:2,880,850.719,33.202,34.394,32.577,91.225
11,20220803_N7.tif:2,959,490.290,59.145,36.851,33.134,128.540
12,20220803_N7.tif:2,998,66.823,59.801,37.698,33.707,158.384
13,20220803_N7.tif:2,937,1215.863,59.721,35.495,33.611,31.012
14,20220803_N7.tif:2,970,1640.806,59.672,37.548,32.892,18.892
15,20220803_N7.tif:2,929,1002.065,185.863,34.639,34.148,149.797
16,20220803_N7.tif:2,1002,277.902,186.827,36.803,34.665,172.124
17,20220803_N7.tif:2,983,1429.247,186.999,37.005,33.822,5.018
18,20220803_N7.tif:2,908,701.346,187.967,34.685,33.331,112.698
19,20220803_N7.tif:3,880,850.722,33.165,34.400,32.571,92.398
20,20220803_N7.tif:3,958,490.297,59.127,36.858,33.094,128.672
21,20220803_N7.tif:3,997,66.836,59.797,37.718,33.656,157.579
22,20220803_N7.tif:3,937,1215.853,59.699,35.441,33.663,30.636
23,20220803_N7.tif:3,969,1640.821,59.686,37.540,32.865,19.069
24,20220803_N7.tif:3,930,1002.072,185.840,34.651,34.173,151.514
25,20220803_N7.tif:3,1000,277.873,186.856,36.802,34.597,172.527
26,20220803_N7.tif:3,984,1429.251,187.045,37.033,33.831,5.125
27,20220803_N7.tif:3,908,701.363,187.976,34.714,33.304,109.601
28,20220803_N7.tif:4,879,850.710,33.180,34.374,32.559,93.572
29,20220803_N7.tif:4,958,490.289,59.091,36.856,33.095,128.648
30,20220803_N7.tif:4,998,66.865,59.812,37.775,33.639,157.825
31,20220803_N7.tif:4,935,1215.856,59.707,35.444,33.588,30.123
32,20220803_N7.tif:4,969,1640.834,59.665,37.450,32.944,18.468
