 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N1.tif:1,882,850.817,33.110,34.490,32.560,92.947
2,20220803_N1.tif:1,969,490.447,59.174,37.164,33.198,129.172
3,20220803_N1.tif:1,1006,67.053,59.826,37.895,33.801,159.879
4,20220803_N1.tif:1,951,1215.806,59.562,35.812,33.812,39.629
5,20220803_N1.tif:1,972,1640.811,59.528,37.518,32.987,17.130
6,20220803_N1.tif:1,1005,278.035,186.856,36.805,34.768,171.322
7,20220803_N1.tif:1,939,1002.212,185.805,34.921,34.237,170.946
8,20220803_N1.tif:1,988,1429.331,186.900,37.140,33.871,4.602
9,20220803_N1.tif:1,914,701.495,187.880,34.768,33.472,116.149
10,20220803_N1.tif:2,885,850.813,33.131,34.514,32.648,91.042
11,20220803_N1.tif:2,967,490.412,59.157,37.017,33.261,130.016
12,20220803_N1.tif:2,1006,67.074,59.806,37.907,33.790,159.858
13,20220803_N1.tif:2,953,1215.838,59.547,35.922,33.779,38.657
14,20220803_N1.tif:2,970,1640.852,59.539,37.423,33.002,17.950
15,20220803_N1.tif:2,936,1002.224,185.806,34.814,34.232,167.910
16,20220803_N1.tif:2,1005,278.009,186.873,36.806,34.766,172.011
17,20220803_N1.tif:2,914,701.499,187.879,34.760,33.479,115.406
18,20220803_N1.tif:2,986,1429.266,186.933,37.113,33.827,6.191
19,20220803_N1.tif:3,884,850.826,33.145,34.478,32.645,89.876
20,20220803_N1.tif:3,967,490.434,59.137,37.080,33.204,129.379
21,20220803_N1.tif:3,1001,67.050,59.857,37.870,33.655,159.647
22,20220803_N1.tif:3,955,1215.812,59.525,35.900,33.871,38.053
23,20220803_N1.tif:3,971,1640.819,59.604,37.503,32.966,18.354
24,20220803_N1.tif:3,936,1002.176,185.817,34.779,34.266,157.616
25,20220803_N1.tif:3,1001,277.976,186.864,36.785,34.647,172.755
26,20220803_N1.tif:3,990,1429.290,186.927,37.059,34.013,5.362
27,20220803_N1.tif:3,914,701.521,187.905,34.790,33.450,115.783
28,20220803_N1.tif:4,884,850.818,33.148,34.599,32.532,92.896
29,20220803_N1.tif:4,964,490.456,59.135,36.995,33.178,128.631
30,20220803_N1.tif:4,1006,67.113,59.822,37.940,33.761,160.465
31,20220803_N1.tif:4,952,1215.830,59.548,35.846,33.815,39.908
32,20220803_N1.tif:4,971,1640.815,59.531,37.479,32.987,17.510
33,20220803_N1.tif:4,935,1002.232,185.813,34.801,34.208,170.224
34,20220803_N1.tif:4,1002,278.045,186.852,36.735,34.730,172.818
35,20220803_N1.tif:4,987,1429.291,186.916,37.160,33.818,6.810
36,20220803_N1.tif:4,916,701.460,187.862,34.833,33.482,119.432
37,20220803_N1.tif:5,884,850.824,33.128,34.554,32.573,91.342
38,20220803_N1.tif:5,968,490.394,59.119,37.086,33.233,130.810
39,20220803_N1.tif:5,1005,67.058,59.806,37.872,33.788,159.461
40,20220803_N1.tif:5,952,1215.836,59.548,35.836,33.825,38.739
41,20220803_N1.tif:5,968,1640.866,59.590,37.502,32.865,18.714
42,20220803_N1.tif:5,937,1002.194,185.812,34.806,34.277,161.514
43,20220803_N1.tif:5,1003,277.994,186.862,36.793,34.709,172.292
44,20220803_N1.tif:5,987,1429.294,186.930,37.033,33.934,4.188
45,20220803_N1.tif:5,914,701.451,187.846,34.828,33.414,118.785
46,20220803_N1.tif:6,883,850.842,33.106,34.487,32.599,92.932
47,20220803_N1.tif:6,969,490.431,59.169,37.083,33.270,130.138
48,20220803_N1.tif:6,1004,67.042,59.796,37.827,33.794,159.805
49,20220803_N1.tif:6,952,1215.820,59.554,35.874,33.788,39.289
50,20220803_N1.tif:6,970,1640.819,59.516,37.558,32.883,17.404
51,20220803_N1.tif:6,938,1002.227,185.793,34.908,34.213,167.870
52,20220803_N1.tif:6,1000,278.026,186.855,36.732,34.663,173.393
53,20220803_N1.tif:6,988,1429.281,186.950,37.154,33.858,6.301
54,20220803_N1.tif:6,914,701.490,187.883,34.761,33.479,117.039
55,20220803_N1.tif:7,886,850.849,33.157,34.607,32.598,93.517
56,20220803_N1.tif:7,966,490.416,59.174,37.108,33.146,129.076
57,20220803_N1.tif:7,1002,67.063,59.836,37.811,33.742,161.768
58,20220803_N1.tif:7,952,1215.806,59.558,35.800,33.859,38.274
59,20220803_N1.tif:7,970,1640.844,59.582,37.517,32.919,18.151
60,20220803_N1.tif:7,1005,277.998,186.824,36.803,34.769,171.559
61,20220803_N1.tif:7,937,1002.248,185.806,34.820,34.262,169.490
62,20220803_N1.tif:7,986,1429.251,186.914,37.052,33.882,5.884
63,20220803_N1.tif:7,913,701.473,187.872,34.710,33.491,116.531
64,20220803_N1.tif:8,883,850.843,33.138,34.488,32.599,90.676
65,20220803_N1.tif:8,966,490.417,59.178,37.108,33.145,129.203
66,20220803_N1.tif:8,1004,67.089,59.826,37.892,33.736,160.548
67,20220803_N1.tif:8,954,1215.849,59.529,35.962,33.776,39.402
68,20220803_N1.tif:8,969,1640.842,59.521,37.482,32.916,17.164
69,20220803_N1.tif:8,937,1002.194,185.812,34.806,34.277,161.514
70,20220803_N1.tif:8,1004,278.039,186.843,36.820,34.719,172.612
71,20220803_N1.tif:8,987,1429.299,186.946,37.100,33.873,6.112
