 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220622_B13.tif:1,211,225.870,26.182,16.874,15.922,107.334
2,20220622_B13.tif:1,215,460.756,26.584,16.881,16.217,87.562
3,20220622_B13.tif:1,207,694.635,27.268,16.620,15.858,29.340
4,20220622_B13.tif:1,206,108.160,96.456,16.677,15.728,104.227
5,20220622_B13.tif:1,213,342.993,96.190,16.807,16.136,87.579
6,20220622_B13.tif:1,210,577.848,96.290,16.695,16.016,58.060
7,20220622_B13.tif:1,192,811.333,96.833,16.137,15.149,38.031
8,20220622_B13.tif:1,195,155.587,144.218,16.486,15.060,111.458
9,20220622_B13.tif:1,205,391.144,144.607,16.720,15.611,85.641
10,20220622_B13.tif:1,203,625.791,145.293,16.181,15.974,53.021
11,20220622_B13.tif:1,188,859.910,146.149,16.418,14.580,13.611
12,20220622_B13.tif:1,184,37.098,213.685,15.922,14.714,105.531
13,20220622_B13.tif:1,205,273.051,213.885,16.493,15.826,95.063
14,20220622_B13.tif:1,201,508.455,213.918,16.316,15.685,75.377
15,20220622_B13.tif:1,191,742.448,214.207,16.195,15.016,60.092
16,20220622_B13.tif:1,197,226.135,261.835,16.371,15.321,93.216
17,20220622_B13.tif:1,201,461.117,261.958,16.193,15.804,76.503
18,20220622_B13.tif:1,191,695.615,262.055,15.813,15.379,29.814
19,20220622_B13.tif:1,185,107.451,331.559,15.810,14.899,97.754
20,20220622_B13.tif:1,196,343.628,331.709,16.435,15.185,97.695
21,20220622_B13.tif:1,189,578.516,331.632,15.737,15.292,48.630
22,20220622_B13.tif:1,178,812.320,331.865,15.549,14.576,9.850
23,20220622_B13.tif:1,195,391.223,380.182,16.118,15.404,75.444
24,20220622_B13.tif:1,193,626.334,379.826,15.853,15.501,94.929
25,20220622_B13.tif:1,187,155.537,380.334,15.556,15.306,71.859
26,20220622_B13.tif:1,173,860.234,380.043,15.388,14.314,11.182
27,20220622_B13.tif:1,194,273.366,449.144,15.975,15.462,81.356
28,20220622_B13.tif:1,197,508.992,449.028,16.259,15.427,76.523
29,20220622_B13.tif:1,169,36.695,449.725,15.179,14.176,89.191
30,20220622_B13.tif:1,193,743.080,449.484,15.943,15.414,6.397
