 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220622_A13.tif:1,210,225.843,26.210,16.885,15.835,110.705
2,20220622_A13.tif:1,216,460.606,26.505,16.906,16.267,82.730
3,20220622_A13.tif:1,207,694.635,27.268,16.620,15.858,29.340
4,20220622_A13.tif:1,201,108.062,96.510,16.442,15.565,98.675
5,20220622_A13.tif:1,214,343.000,96.229,16.919,16.105,90.000
6,20220622_A13.tif:1,203,577.150,96.815,16.469,15.694,62.407
7,20220622_A13.tif:1,193,811.262,96.894,16.053,15.308,36.705
8,20220622_A13.tif:1,194,155.582,144.258,16.408,15.054,114.246
9,20220622_A13.tif:1,203,391.047,144.569,16.493,15.671,82.356
10,20220622_A13.tif:1,204,625.770,145.328,16.303,15.932,55.827
11,20220622_A13.tif:1,185,859.911,146.295,16.036,14.689,16.402
12,20220622_A13.tif:1,180,37.050,213.639,15.768,14.535,95.622
13,20220622_A13.tif:1,202,272.965,213.886,16.411,15.672,90.134
14,20220622_A13.tif:1,201,508.306,214.062,16.413,15.593,67.983
15,20220622_A13.tif:1,191,742.469,214.270,16.017,15.183,54.142
16,20220622_A13.tif:1,194,226.093,261.835,16.245,15.205,84.585
17,20220622_A13.tif:1,198,461.131,261.879,16.315,15.452,71.175
18,20220622_A13.tif:1,190,695.574,262.053,15.755,15.355,41.139
19,20220622_A13.tif:1,181,107.296,331.660,15.730,14.650,103.310
20,20220622_A13.tif:1,198,343.571,331.747,16.462,15.314,93.990
21,20220622_A13.tif:1,189,578.357,331.722,15.984,15.055,55.397
22,20220622_A13.tif:1,179,812.176,331.953,15.809,14.416,16.590
23,20220622_A13.tif:1,194,391.201,380.216,16.016,15.422,80.150
24,20220622_A13.tif:1,194,626.320,379.789,15.964,15.473,99.961
25,20220622_A13.tif:1,186,155.419,380.328,15.473,15.305,73.407
26,20220622_A13.tif:1,172,860.238,380.128,15.233,14.376,11.315
27,20220622_A13.tif:1,194,273.320,449.211,15.964,15.473,80.039
28,20220622_A13.tif:1,195,508.849,449.085,15.978,15.539,97.218
29,20220622_A13.tif:1,166,36.669,449.837,14.919,14.167,92.647
30,20220622_A13.tif:1,195,743.003,449.485,16.157,15.366,4.239
31,20220622_A13.tif:1,191,225.610,498.039,16.114,15.092,89.353
