 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220622_A14.tif:1,212,225.892,26.151,16.896,15.976,102.781
2,20220622_A14.tif:1,224,460.830,26.531,17.090,16.688,97.173
3,20220622_A14.tif:1,217,694.657,27.187,16.810,16.436,29.349
4,20220622_A14.tif:1,207,108.162,96.510,16.866,15.627,104.091
5,20220622_A14.tif:1,220,343.018,96.345,17.290,16.201,89.047
6,20220622_A14.tif:1,218,577.899,96.399,17.230,16.109,68.653
7,20220622_A14.tif:1,205,811.320,97.032,16.504,15.815,48.675
8,20220622_A14.tif:1,203,155.564,144.264,16.814,15.373,110.165
9,20220622_A14.tif:1,218,391.101,144.505,17.155,16.180,91.724
10,20220622_A14.tif:1,214,625.808,145.294,16.770,16.247,54.727
11,20220622_A14.tif:1,198,859.995,146.460,16.475,15.302,13.347
12,20220622_A14.tif:1,218,508.509,213.890,17.056,16.274,66.272
13,20220622_A14.tif:1,188,37.133,213.665,16.147,14.824,103.528
14,20220622_A14.tif:1,212,273.014,213.906,16.882,15.989,111.125
15,20220622_A14.tif:1,210,742.510,214.290,16.718,15.994,36.523
16,20220622_A14.tif:1,207,226.118,261.722,16.685,15.797,101.349
17,20220622_A14.tif:1,210,461.271,261.852,16.627,16.081,81.871
18,20220622_A14.tif:1,206,695.772,261.874,16.333,16.059,48.366
19,20220622_A14.tif:1,208,343.793,331.601,16.703,15.855,95.883
20,20220622_A14.tif:1,209,578.672,331.667,16.648,15.984,75.240
21,20220622_A14.tif:1,194,107.392,331.773,16.292,15.162,96.635
22,20220622_A14.tif:1,193,812.303,331.956,16.030,15.330,20.272
23,20220622_A14.tif:1,196,155.469,380.224,16.275,15.334,79.333
24,20220622_A14.tif:1,209,391.457,380.160,16.611,16.020,100.123
25,20220622_A14.tif:1,208,626.562,379.788,16.466,16.084,50.759
26,20220622_A14.tif:1,183,860.440,379.943,15.615,14.922,12.406
27,20220622_A14.tif:1,207,273.326,449.254,16.730,15.754,91.128
28,20220622_A14.tif:1,211,508.945,449.064,16.660,16.126,67.651
29,20220622_A14.tif:1,207,743.186,449.481,16.471,16.001,8.255
30,20220622_A14.tif:1,177,36.720,449.794,15.464,14.573,82.346
31,20220622_A14.tif:1,206,461.680,497.544,16.678,15.727,80.568
32,20220622_A14.tif:1,201,696.465,497.371,16.141,15.855,15.001
33,20220622_A14.tif:1,200,225.600,497.760,16.426,15.502,81.838
34,20220622_A14.tif:1,205,343.544,567.437,16.753,15.580,78.391
35,20220622_A14.tif:1,206,578.893,567.087,16.367,16.026,67.446
36,20220622_A14.tif:1,192,813.458,566.854,15.814,15.459,157.815
37,20220622_A14.tif:1,196,107.321,568.005,16.467,15.155,77.742
38,20220622_A14.tif:1,216,626.560,615.509,16.766,16.403,99.966
39,20220622_A14.tif:1,191,860.830,614.427,15.873,15.321,174.809
40,20220622_A14.tif:1,211,155.159,616.737,16.754,16.035,59.412
41,20220622_A14.tif:1,212,391.090,616.047,16.540,16.320,93.948
42,20220622_A14.tif:1,226,509.394,684.898,17.079,16.848,31.292
43,20220622_A14.tif:1,217,744.159,684.611,16.828,16.418,94.065
44,20220622_A14.tif:1,197,36.069,685.662,16.498,15.203,40.503
45,20220622_A14.tif:1,218,273.394,685.766,17.135,16.199,55.832
46,20220622_A14.tif:2,212,225.892,26.151,16.896,15.976,102.781
47,20220622_A14.tif:2,224,460.821,26.478,17.150,16.630,79.964
48,20220622_A14.tif:2,219,694.632,27.258,16.944,16.456,46.918
49,20220622_A14.tif:2,207,108.162,96.510,16.866,15.627,104.091
50,20220622_A14.tif:2,220,343.018,96.345,17.290,16.201,89.047
51,20220622_A14.tif:2,218,577.899,96.399,17.230,16.109,68.653
52,20220622_A14.tif:2,205,811.320,97.032,16.504,15.815,48.675
53,20220622_A14.tif:2,202,155.683,144.277,16.820,15.291,106.870
54,20220622_A14.tif:2,218,391.101,144.505,17.155,16.180,91.724
55,20220622_A14.tif:2,213,625.843,145.289,16.741,16.200,61.388
56,20220622_A14.tif:2,197,860.013,146.424,16.460,15.239,9.681
57,20220622_A14.tif:2,221,508.486,213.857,17.078,16.477,65.472
58,20220622_A14.tif:2,186,37.070,213.688,16.136,14.677,104.046
59,20220622_A14.tif:2,211,273.040,213.936,16.785,16.006,107.285
60,20220622_A14.tif:2,211,742.514,214.329,16.720,16.068,42.466
61,20220622_A14.tif:2,208,226.106,261.760,16.766,15.796,97.320
62,20220622_A14.tif:2,210,461.271,261.852,16.627,16.081,81.871
63,20220622_A14.tif:2,206,695.840,261.913,16.323,16.069,53.654
64,20220622_A14.tif:2,208,343.793,331.601,16.703,15.855,95.883
65,20220622_A14.tif:2,193,107.355,331.759,16.304,15.072,93.706
66,20220622_A14.tif:2,207,578.669,331.746,16.439,16.032,65.626
67,20220622_A14.tif:2,193,812.303,331.956,16.030,15.330,20.272
68,20220622_A14.tif:2,196,155.429,380.250,16.127,15.474,80.952
69,20220622_A14.tif:2,208,391.418,380.154,16.640,15.916,96.195
70,20220622_A14.tif:2,207,626.534,379.814,16.358,16.112,56.224
71,20220622_A14.tif:2,183,860.478,379.964,15.768,14.777,12.774
72,20220622_A14.tif:2,207,273.370,449.239,16.836,15.655,85.268
73,20220622_A14.tif:2,212,508.910,449.057,16.637,16.225,64.373
74,20220622_A14.tif:2,205,743.120,449.515,16.315,15.999,174.684
75,20220622_A14.tif:2,178,36.719,449.837,15.591,14.536,83.335
76,20220622_A14.tif:2,210,461.676,497.624,16.819,15.898,78.843
77,20220622_A14.tif:2,201,696.440,497.246,16.078,15.917,117.850
78,20220622_A14.tif:2,199,225.606,497.721,16.311,15.534,81.824
79,20220622_A14.tif:2,206,343.553,567.403,16.862,15.555,78.866
80,20220622_A14.tif:2,207,578.930,567.075,16.412,16.059,54.779
81,20220622_A14.tif:2,191,813.385,566.772,15.834,15.359,162.946
82,20220622_A14.tif:2,198,107.384,568.005,16.496,15.282,76.868
83,20220622_A14.tif:2,217,626.588,615.537,16.844,16.403,109.678
84,20220622_A14.tif:2,194,860.876,614.407,16.121,15.322,167.894
85,20220622_A14.tif:2,212,155.170,616.774,16.792,16.075,65.405
86,20220622_A14.tif:2,212,391.071,616.028,16.641,16.221,92.212
87,20220622_A14.tif:2,227,509.363,684.874,17.077,16.925,9.801
88,20220622_A14.tif:2,216,744.125,684.528,16.858,16.314,101.812
89,20220622_A14.tif:2,196,36.041,685.694,16.377,15.238,39.280
90,20220622_A14.tif:2,216,273.356,685.824,16.965,16.211,55.557
91,20220622_A14.tif:3,213,225.927,26.138,16.859,16.087,101.571
92,20220622_A14.tif:3,224,460.817,26.513,17.168,16.613,93.055
93,20220622_A14.tif:3,219,694.651,27.235,16.981,16.421,36.007
94,20220622_A14.tif:3,208,108.197,96.524,16.882,15.688,107.457
95,20220622_A14.tif:3,221,343.052,96.360,17.275,16.289,91.888
96,20220622_A14.tif:3,219,577.925,96.427,17.221,16.192,71.933
97,20220622_A14.tif:3,205,811.320,97.032,16.504,15.815,48.675
98,20220622_A14.tif:3,204,155.652,144.216,16.730,15.525,113.651
99,20220622_A14.tif:3,218,391.124,144.578,17.154,16.180,91.467
100,20220622_A14.tif:3,212,625.877,145.269,16.678,16.184,70.016
101,20220622_A14.tif:3,198,859.995,146.460,16.475,15.302,13.347
102,20220622_A14.tif:3,219,508.477,213.838,16.991,16.411,77.047
103,20220622_A14.tif:3,188,37.096,213.697,16.283,14.701,100.081
104,20220622_A14.tif:3,212,273.014,213.906,16.882,15.989,111.125
105,20220622_A14.tif:3,212,742.509,214.368,16.778,16.088,48.834
106,20220622_A14.tif:3,208,226.106,261.760,16.766,15.796,97.320
107,20220622_A14.tif:3,210,461.271,261.852,16.627,16.081,81.871
108,20220622_A14.tif:3,208,695.880,261.952,16.410,16.139,21.081
109,20220622_A14.tif:3,209,343.773,331.639,16.791,15.848,92.703
110,20220622_A14.tif:3,208,578.673,331.707,16.546,16.006,70.805
111,20220622_A14.tif:3,193,107.355,331.759,16.304,15.072,93.706
112,20220622_A14.tif:3,193,812.303,331.956,16.030,15.330,20.272
113,20220622_A14.tif:3,197,155.434,380.211,16.245,15.441,81.179
114,20220622_A14.tif:3,208,391.418,380.154,16.640,15.916,96.195
