 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220622_B23.tif:1,211,225.870,26.182,16.874,15.922,107.334
2,20220622_B23.tif:1,217,460.772,26.518,17.028,16.226,85.397
3,20220622_B23.tif:1,207,694.635,27.268,16.620,15.858,29.340
4,20220622_B23.tif:1,205,108.149,96.520,16.669,15.658,99.760
5,20220622_B23.tif:1,213,343.035,96.218,16.944,16.006,92.374
6,20220622_B23.tif:1,208,577.880,96.274,16.664,15.893,52.002
7,20220622_B23.tif:1,192,811.333,96.755,16.068,15.214,36.321
8,20220622_B23.tif:1,197,155.657,144.124,16.542,15.163,111.797
9,20220622_B23.tif:1,202,391.124,144.589,16.625,15.470,89.004
10,20220622_B23.tif:1,204,625.828,145.304,16.185,16.048,28.566
11,20220622_B23.tif:1,186,859.962,146.194,16.291,14.537,9.950
12,20220622_B23.tif:1,182,37.126,213.665,15.754,14.710,101.677
13,20220622_B23.tif:1,203,273.067,213.899,16.446,15.717,106.182
14,20220622_B23.tif:1,199,508.485,213.962,16.332,15.514,86.009
15,20220622_B23.tif:1,195,742.392,214.167,16.109,15.413,60.244
16,20220622_B23.tif:1,197,226.074,261.774,16.265,15.421,88.103
17,20220622_B23.tif:1,199,461.209,261.967,16.346,15.500,76.447
18,20220622_B23.tif:1,190,695.611,262.016,15.833,15.279,24.117
19,20220622_B23.tif:1,185,107.332,331.608,15.948,14.770,102.231
20,20220622_B23.tif:1,196,343.617,331.704,16.392,15.224,96.758
21,20220622_B23.tif:1,189,578.484,331.706,15.697,15.330,60.108
22,20220622_B23.tif:1,178,812.275,331.927,15.690,14.444,9.866
23,20220622_B23.tif:1,195,391.223,380.182,16.118,15.404,75.444
24,20220622_B23.tif:1,193,626.329,379.749,15.877,15.477,108.719
25,20220622_B23.tif:1,187,155.457,380.345,15.452,15.409,113.363
26,20220622_B23.tif:1,173,860.280,380.113,15.363,14.337,12.829
27,20220622_B23.tif:1,196,273.347,449.138,16.182,15.422,76.129
28,20220622_B23.tif:1,199,509.043,449.053,16.333,15.513,76.444
29,20220622_B23.tif:1,170,36.718,449.688,15.265,14.180,85.289
30,20220622_B23.tif:1,193,743.065,449.505,16.039,15.321,7.325
31,20220622_B23.tif:1,189,225.669,497.780,15.955,15.083,75.509
32,20220622_B23.tif:1,192,461.573,497.750,16.112,15.173,96.920
33,20220622_B23.tif:1,186,696.392,497.296,15.521,15.258,157.883
34,20220622_B23.tif:1,192,578.729,567.120,15.874,15.400,68.491
35,20220622_B23.tif:1,179,813.310,566.908,15.516,14.688,164.940
36,20220622_B23.tif:1,188,107.404,567.963,16.098,14.870,79.623
37,20220622_B23.tif:1,190,343.495,567.432,15.795,15.316,65.562
38,20220622_B23.tif:1,184,860.663,614.446,15.536,15.079,179.422
39,20220622_B23.tif:1,208,391.072,616.091,16.512,16.039,80.923
40,20220622_B23.tif:1,202,626.540,615.782,16.180,15.896,117.830
41,20220622_B23.tif:1,206,155.189,616.816,16.411,15.982,54.797
42,20220622_B23.tif:1,215,509.412,684.960,16.756,16.337,41.954
43,20220622_B23.tif:1,208,744.163,684.452,16.403,16.146,171.204
44,20220622_B23.tif:1,211,273.315,685.884,16.913,15.884,69.397
45,20220622_B23.tif:1,191,36.144,685.647,16.054,15.148,32.634
46,20220622_B23.tif:2,211,225.870,26.182,16.874,15.922,107.334
47,20220622_B23.tif:2,216,460.782,26.556,16.937,16.238,81.222
48,20220622_B23.tif:2,207,694.630,27.239,16.559,15.917,21.630
49,20220622_B23.tif:2,206,108.175,96.549,16.744,15.665,103.416
50,20220622_B23.tif:2,213,342.993,96.190,16.807,16.136,87.579
51,20220622_B23.tif:2,207,577.833,96.331,16.665,15.815,54.686
52,20220622_B23.tif:2,192,811.365,96.786,16.051,15.231,46.737
53,20220622_B23.tif:2,196,155.699,144.235,16.562,15.068,115.762
54,20220622_B23.tif:2,202,391.124,144.589,16.625,15.470,89.004
55,20220622_B23.tif:2,204,625.770,145.328,16.303,15.932,55.827
56,20220622_B23.tif:2,188,859.957,146.170,16.249,14.732,12.532
57,20220622_B23.tif:2,182,37.126,213.665,15.754,14.710,101.677
58,20220622_B23.tif:2,205,273.051,213.885,16.493,15.826,95.063
59,20220622_B23.tif:2,198,508.424,213.904,16.200,15.562,84.980
60,20220622_B23.tif:2,193,742.464,214.189,16.147,15.219,63.489
61,20220622_B23.tif:2,197,226.135,261.820,16.366,15.326,90.144
62,20220622_B23.tif:2,201,461.211,261.963,16.348,15.654,86.489
63,20220622_B23.tif:2,190,695.611,262.016,15.833,15.279,24.117
64,20220622_B23.tif:2,185,107.392,331.608,15.912,14.803,94.517
65,20220622_B23.tif:2,198,343.571,331.747,16.462,15.314,93.990
66,20220622_B23.tif:2,189,578.458,331.653,15.888,15.146,54.916
67,20220622_B23.tif:2,178,812.275,331.927,15.690,14.444,9.866
68,20220622_B23.tif:2,194,391.253,380.211,16.131,15.313,70.218
69,20220622_B23.tif:2,194,626.320,379.789,15.964,15.473,99.961
70,20220622_B23.tif:2,186,155.495,380.355,15.470,15.309,82.853
71,20220622_B23.tif:2,173,860.280,380.113,15.363,14.337,12.829
72,20220622_B23.tif:2,196,273.347,449.138,16.182,15.422,76.129
73,20220622_B23.tif:2,201,509.097,449.042,16.409,15.596,76.455
74,20220622_B23.tif:2,172,36.785,449.738,15.294,14.320,93.368
75,20220622_B23.tif:2,194,743.041,449.474,16.046,15.394,1.674
76,20220622_B23.tif:2,190,225.632,497.774,15.921,15.195,74.659
77,20220622_B23.tif:2,194,461.500,497.763,16.067,15.373,95.410
78,20220622_B23.tif:2,187,696.350,497.297,15.630,15.233,167.099
79,20220622_B23.tif:2,194,578.732,567.124,15.840,15.594,51.411
80,20220622_B23.tif:2,181,813.312,566.881,15.708,14.671,168.540
81,20220622_B23.tif:2,190,107.411,567.953,16.133,14.995,87.249
82,20220622_B23.tif:2,190,343.495,567.432,15.795,15.316,65.562
83,20220622_B23.tif:2,182,860.703,614.489,15.498,14.952,164.013
84,20220622_B23.tif:2,208,391.072,616.091,16.512,16.039,80.923
85,20220622_B23.tif:2,203,626.544,615.815,16.311,15.846,110.707
86,20220622_B23.tif:2,205,155.222,616.773,16.264,16.049,74.977
87,20220622_B23.tif:2,220,509.482,684.955,16.853,16.621,28.792
88,20220622_B23.tif:2,209,744.122,684.409,16.432,16.195,137.772
89,20220622_B23.tif:2,193,36.174,685.573,16.189,15.179,39.953
90,20220622_B23.tif:2,213,273.317,685.876,16.870,16.076,63.537
91,20220622_B23.tif:3,211,225.870,26.182,16.874,15.922,107.334
92,20220622_B23.tif:3,214,460.790,26.565,16.888,16.134,92.735
93,20220622_B23.tif:3,208,694.596,27.260,16.674,15.883,23.479
94,20220622_B23.tif:3,205,108.222,96.529,16.713,15.618,102.946
95,20220622_B23.tif:3,213,342.993,96.190,16.807,16.136,87.579
96,20220622_B23.tif:3,208,577.865,96.351,16.628,15.927,54.008
97,20220622_B23.tif:3,192,811.333,96.833,16.137,15.149,38.031
98,20220622_B23.tif:3,196,155.622,144.240,16.550,15.079,114.614
99,20220622_B23.tif:3,204,391.157,144.574,16.757,15.501,96.210
100,20220622_B23.tif:3,205,625.807,145.339,16.288,16.025,45.535
101,20220622_B23.tif:3,186,859.957,146.183,16.012,14.790,12.768
102,20220622_B23.tif:3,184,37.120,213.582,15.747,14.877,97.451
